city,country,distance,id,lat,localized_country_name,lon,member_count,ranking,zip
Zürich,ch,805.0487300089684,1005076,47.380001068115234,Switzerland,8.539999961853027,4272,0,meetup1
Genève,ch,770.2393923095972,1005077,46.209999084472656,Switzerland,6.139999866485596,1225,1,meetup2
Lausanne,ch,772.0704272942958,1005080,46.52000045776367,Switzerland,6.619999885559082,635,2,meetup5
Bern,ch,782.0083443823959,1005079,46.95000076293945,Switzerland,7.440000057220459,263,3,meetup4
Lugano,ch,887.4088344921215,1005097,46.0099983215332,Switzerland,8.9399995803833,232,4,meetup22
Basel,ch,757.8280111917445,1005078,47.56999969482422,Switzerland,7.579999923706055,127,5,meetup3
Winterthur,ch,806.2900806430578,1005081,47.5099983215332,Switzerland,8.720000267028809,124,6,meetup6
Luzern,ch,810.5521144674431,1005083,47.060001373291016,Switzerland,8.300000190734863,109,7,meetup8
Zug,ch,813.6300377756106,1005100,47.18000030517578,Switzerland,8.520000457763672,102,8,meetup25
Nyon,ch,763.4337463244591,1005127,46.38999938964844,Switzerland,6.210000038146973,83,9,meetup52
Neuchatel,ch,758.915812459066,1005090,47.0099983215332,Switzerland,6.920000076293945,72,10,meetup15
Aadorf,ch,814.4999426940572,1005272,47.4900016784668,Switzerland,8.899999618530273,65,11,meetup197
Sankt Gallen,ch,835.5082000331042,1005082,47.439998626708984,Switzerland,9.359999656677246,57,12,meetup7
Fribourg,ch,777.2864967396606,1005089,46.810001373291016,Switzerland,7.139999866485596,53,13,meetup14
Baden,ch,791.155325478447,1005123,47.47999954223633,Switzerland,8.3100004196167,51,14,meetup48
Schaffhausen,ch,793.0968128170401,1005088,47.709999084472656,Switzerland,8.619999885559082,46,15,meetup13
Montreux,ch,785.4668681164469,1005102,46.45000076293945,Switzerland,6.880000114440918,43,16,meetup27
Vevey,ch,782.1751102098718,1005129,46.470001220703125,Switzerland,6.820000171661377,39,17,meetup54
Aarau,ch,784.0887165238616,1005135,47.400001525878906,Switzerland,8.039999961853027,37,18,meetup60
Locarno,ch,872.9819503669953,1005146,46.18000030517578,Switzerland,8.789999961853027,27,19,meetup71
Morges,ch,767.1802755095877,1005152,46.52000045776367,Switzerland,6.489999771118164,23,20,meetup77
Bellinzona,ch,881.0810285692459,1005119,46.20000076293945,Switzerland,9.020000457763672,22,21,meetup44
Thalwil,ch,809.1213966708673,1005131,47.310001373291016,Switzerland,8.5600004196167,22,22,meetup56
Biel,ch,764.4712350860809,1005084,47.150001525878906,Switzerland,7.239999771118164,20,23,meetup9
Sion,ch,813.5422997282551,1005094,46.25,Switzerland,7.349999904632568,18,24,meetup19
Solothurn,ch,772.8357276557498,1005136,47.220001220703125,Switzerland,7.539999961853027,15,25,meetup61
Wettingen,ch,791.6198725084794,1005110,47.470001220703125,Switzerland,8.3100004196167,14,26,meetup35
Zollikon,ch,808.5231366216677,1005166,47.34000015258789,Switzerland,8.579999923706055,14,27,meetup91
Richterswil,ch,819.8407562707293,1005182,47.209999084472656,Switzerland,8.710000038146973,14,28,meetup107
Thun,ch,797.8604816110715,1005085,46.77000045776367,Switzerland,7.619999885559082,13,29,meetup10
Adliswil,ch,806.6450692934477,1005125,47.31999969482422,Switzerland,8.510000228881836,13,30,meetup50
Versoix,ch,766.7893891285688,1005175,46.290000915527344,Switzerland,6.159999847412109,13,31,meetup100
Mendrisio,ch,895.5332999490657,1005315,45.880001068115234,Switzerland,8.979999542236328,12,32,meetup240
Chur,ch,869.4692510199632,1005091,46.86000061035156,Switzerland,9.529999732971191,12,33,meetup16
Yverdon,ch,758.7690577952717,1005099,46.790000915527344,Switzerland,6.630000114440918,12,34,meetup24
Frauenfeld,ch,810.8856678407519,1005104,47.560001373291016,Switzerland,8.890000343322754,11,35,meetup29
Bülach,ch,798.0976166117301,1005148,47.529998779296875,Switzerland,8.539999961853027,11,36,meetup73
Gland,ch,763.5899108471507,1005195,46.43000030517578,Switzerland,6.269999980926514,11,37,meetup120
Dietikon,ch,797.1576721014981,1005103,47.41999816894531,Switzerland,8.390000343322754,10,38,meetup28
Kloten,ch,802.944267079184,1005118,47.459999084472656,Switzerland,8.579999923706055,10,39,meetup43
Sierre,ch,816.6148587814986,1005145,46.310001373291016,Switzerland,7.510000228881836,10,40,meetup70
Rapperswil,ch,823.2650756404141,1005256,47.2400016784668,Switzerland,8.829999923706055,10,41,meetup181
Allschwil,ch,756.7829386892492,1005115,47.54999923706055,Switzerland,7.53000020980835,9,42,meetup40
Kreuzlingen,ch,817.7432477388919,1005124,47.65999984741211,Switzerland,9.170000076293945,9,43,meetup49
Olten,ch,779.9277852867996,1005126,47.369998931884766,Switzerland,7.900000095367432,9,44,meetup51
Regensdorf,ch,800.3088928842602,1005130,47.43000030517578,Switzerland,8.479999542236328,9,45,meetup55
Chiasso,ch,899.5235814849735,1005245,45.84000015258789,Switzerland,9.029999732971191,9,46,meetup170
Uster,ch,812.8265879025353,1005093,47.36000061035156,Switzerland,8.710000038146973,8,47,meetup18
Baar,ch,812.2851046389479,1005106,47.20000076293945,Switzerland,8.510000228881836,8,48,meetup31
Wädenswil,ch,816.4213173598395,1005108,47.2400016784668,Switzerland,8.65999984741211,8,49,meetup33
Wil,ch,820.6952656932147,1005120,47.470001220703125,Switzerland,9.029999732971191,8,50,meetup45
Küsnacht,ch,808.9900891728804,1005161,47.33000183105469,Switzerland,8.579999923706055,8,51,meetup86
Brugg,ch,785.8783069924373,1005211,47.4900016784668,Switzerland,8.1899995803833,8,52,meetup136
Lachen,ch,826.0125615122835,1005280,47.189998626708984,Switzerland,8.84000015258789,8,53,meetup205
Birmensdorf,ch,801.5627594883152,1005334,47.36000061035156,Switzerland,8.430000305175781,7,54,meetup259
Pully,ch,772.8243991361051,1005133,46.52000045776367,Switzerland,6.639999866485596,7,55,meetup58
Monthey,ch,796.5730190189291,1005137,46.27000045776367,Switzerland,6.929999828338623,7,56,meetup62
Bulle,ch,782.9468932026989,1005164,46.619998931884766,Switzerland,7.039999961853027,7,57,meetup89
Pfäffikon,ch,815.12641248165,1005190,47.380001068115234,Switzerland,8.789999961853027,7,58,meetup115
Le Locle,ch,749.6943047187044,1005191,47.08000183105469,Switzerland,6.769999980926514,7,59,meetup116
Stans,ch,817.3338992081699,1005247,46.959999084472656,Switzerland,8.350000381469727,7,60,meetup172
Bremgarten,ch,797.0855775002077,1005327,47.369998931884766,Switzerland,8.329999923706055,6,61,meetup252
Stäfa,ch,818.3657067755711,1005165,47.25,Switzerland,8.720000267028809,6,62,meetup90
Buchs,ch,852.0520584622072,1005194,47.16999816894531,Switzerland,9.460000038146973,6,63,meetup119
